pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
82.509,-98.99,0.0,top,BAT+1,,,BatteryPad,+,tht
217.259,-98.99,0.0,top,BAT+2,,,BatteryPad,+,tht
87.509,-98.99,0.0,top,BATGND1,,,BatteryPad,-,tht
212.259,-98.99,0.0,top,BATGND2,,,BatteryPad,-,tht
55.259,-81.49,-83.0,top,DL1,,,Diode_SOD27,D_Small,tht
130.259,-85.24,-90.0,top,DL10,,,Diode_SOD27,D_Small,tht
59.759,-114.49,-83.0,top,DL11,,,Diode_SOD27,D_Small,tht
76.259,-100.49,92.0,top,DL12,,,Diode_SOD27,D_Small,tht
94.009,-91.24,90.0,top,DL13,,,Diode_SOD27,D_Small,tht
112.25,-99.49,-90.0,top,DL14,,,Diode_SOD27,D_Small,tht
130.259,-102.24,-90.0,top,DL15,,,Diode_SOD27,D_Small,tht
37.509,-93.49,100.0,top,DL16,,,Diode_SOD27,D_Small,tht
40.509,-110.24,100.0,top,DL17,,,Diode_SOD27,D_Small,tht
87.759,-114.49,-90.0,top,DL18,,,Diode_SOD27,D_Small,tht
108.759,-114.49,-97.5,top,DL19,,,Diode_SOD27,D_Small,tht
75.009,-66.49,92.0,top,DL2,,,Diode_SOD27,D_Small,tht
129.009,-119.49,-112.5,top,DL20,,,Diode_SOD27,D_Small,tht
94.009,-60.74,90.0,top,DL3,,,Diode_SOD27,D_Small,tht
112.259,-65.49,90.0,top,DL4,,,Diode_SOD27,D_Small,tht
130.259,-68.24,90.0,top,DL5,,,Diode_SOD27,D_Small,tht
57.259,-97.74,97.0,top,DL6,,,Diode_SOD27,D_Small,tht
75.509,-83.49,92.0,top,DL7,,,Diode_SOD27,D_Small,tht
94.009,-73.99,90.0,top,DL8,,,Diode_SOD27,D_Small,tht
112.259,-82.49,-90.0,top,DL9,,,Diode_SOD27,D_Small,tht
245.009,-77.99,-97.5,top,DR1,,,Diode_SOD27,D_Small,tht
169.809,-85.24,90.0,top,DR10,,,Diode_SOD27,D_Small,tht
241.009,-109.99,-97.5,top,DR11,,,Diode_SOD27,D_Small,tht
223.759,-98.24,88.0,top,DR12,,,Diode_SOD27,D_Small,tht
205.75,-99.24,90.0,top,DR13,,,Diode_SOD27,D_Small,tht
187.75,-96.74,90.0,top,DR14,,,Diode_SOD27,D_Small,tht
169.809,-102.24,90.0,top,DR15,,,Diode_SOD27,D_Small,tht
260.25,-104.99,-100.0,top,DR16,,,Diode_SOD27,D_Small,tht
263.25,-87.99,-100.0,top,DR17,,,Diode_SOD27,D_Small,tht
212.259,-114.24,-90.0,top,DR18,,,Diode_SOD27,D_Small,tht
171.009,-119.99,-67.4,top,DR19,,,Diode_SOD27,D_Small,tht
225.0,-66.24,88.0,top,DR2,,,Diode_SOD27,D_Small,tht
191.259,-114.49,-82.5,top,DR20,,,Diode_SOD27,D_Small,tht
205.75,-65.74,90.0,top,DR3,,,Diode_SOD27,D_Small,tht
187.75,-62.74,90.0,top,DR4,,,Diode_SOD27,D_Small,tht
169.809,-68.24,90.0,top,DR5,,,Diode_SOD27,D_Small,tht
243.009,-94.74,-97.5,top,DR6,,,Diode_SOD27,D_Small,tht
224.5,-83.49,88.0,top,DR7,,,Diode_SOD27,D_Small,tht
205.75,-82.24,90.0,top,DR8,,,Diode_SOD27,D_Small,tht
187.75,-79.74,90.0,top,DR9,,,Diode_SOD27,D_Small,tht
138.2,-49.7,0.0,top,J1,,,MJ-4PP-9_1side,MJ-4PP-9,tht
