Designator,Mid X,Mid Y,Rotation,Layer
BAT+1,82.509,-98.99,0.0,top
BAT+2,217.259,-98.99,0.0,top
BATGND1,87.509,-98.99,0.0,top
BATGND2,212.259,-98.99,0.0,top
DL1,55.259,-81.49,277.0,top
DL10,130.259,-85.24,270.0,top
DL11,59.759,-114.49,277.0,top
DL12,76.259,-100.49,92.0,top
DL13,94.009,-91.24,90.0,top
DL14,112.25,-99.49,270.0,top
DL15,130.259,-102.24,270.0,top
DL16,37.509,-93.49,100.0,top
DL17,40.509,-110.24,100.0,top
DL18,87.759,-114.49,270.0,top
DL19,108.759,-114.49,262.5,top
DL2,75.009,-66.49,92.0,top
DL20,129.009,-119.49,247.5,top
DL3,94.009,-60.74,90.0,top
DL4,112.259,-65.49,90.0,top
DL5,130.259,-68.24,90.0,top
DL6,57.259,-97.74,97.0,top
DL7,75.509,-83.49,92.0,top
DL8,94.009,-73.99,90.0,top
DL9,112.259,-82.49,270.0,top
DR1,245.009,-77.99,262.5,top
DR10,169.809,-85.24,90.0,top
DR11,241.009,-109.99,262.5,top
DR12,223.759,-98.24,88.0,top
DR13,205.75,-99.24,90.0,top
DR14,187.75,-96.74,90.0,top
DR15,169.809,-102.24,90.0,top
DR16,260.25,-104.99,260.0,top
DR17,263.25,-87.99,260.0,top
DR18,212.259,-114.24,270.0,top
DR19,171.009,-119.99,292.6,top
DR2,225.0,-66.24,88.0,top
DR20,191.259,-114.49,277.5,top
DR3,205.75,-65.74,90.0,top
DR4,187.75,-62.74,90.0,top
DR5,169.809,-68.24,90.0,top
DR6,243.009,-94.74,262.5,top
DR7,224.5,-83.49,88.0,top
DR8,205.75,-82.24,90.0,top
DR9,187.75,-79.74,90.0,top
J1,138.2,-56.675,0.0,top
J2,161.8,-56.675,0.0,top
PSW1,69.0,-50.0,270.0,top
PSW2,238.8,-50.0,270.0,top
RSW1,122.98,-53.035,0.0,top
RSW2,177.005,-53.035,0.0,top
SWL1,45.89170427480626,-79.45452778513777,10.0,top
SWL10,122.741255,-82.057769,0.0,top
SWL11,51.79581827480626,-112.93842578513777,10.0,top
SWL12,68.49206314873166,-97.98554747508142,4.0,top
SWL13,86.741279,-87.901408,0.0,top
SWL14,104.741291,-96.337887,0.0,top
SWL15,122.741255,-99.057989,0.0,top
SWL16,32.69376027480626,-108.54647478513778,10.0,top
SWL17,29.64024327480626,-91.81047878513778,10.0,top
SWL18,99.715215,-117.047348,0.0,top
SWL19,119.65379041331165,-120.24867504603834,345.0,top
SWL2,66.12031214873167,-64.06793047508141,4.0,top
SWL20,138.00714125217073,-128.33914421718956,330.0,top
SWL3,86.741279,-53.900968,0.0,top
SWL4,104.741291,-62.337447,0.0,top
SWL5,122.741255,-65.057549,0.0,top
SWL6,48.843760274806264,-96.19647478513777,10.0,top
SWL7,67.30618814873166,-81.02673847508142,4.0,top
SWL8,86.741279,-70.901188,0.0,top
SWL9,104.741291,-79.337667,0.0,top
SWR1,257.18648840168044,-80.03133387475371,350.0,top
SWR10,180.365335,-82.142847,0.0,top
SWR11,251.2823744016804,-113.51523087475371,350.0,top
SWR12,234.54343710571104,-98.21709332207983,356.0,top
SWR13,216.365215,-87.901408,0.0,top
SWR14,198.365255,-96.337887,0.0,top
SWR15,180.365335,-99.143067,0.0,top
SWR16,270.3364884016804,-109.10633387475372,350.0,top
SWR17,273.3317914016804,-92.37033787475372,350.0,top
SWR18,203.390215,-117.047348,0.0,top
SWR19,183.36558104322694,-119.4142165627233,15.0,top
SWR2,236.91518810571105,-64.29947632207984,356.0,top
SWR20,164.68977925217072,-126.72709421718955,30.0,top
SWR3,216.365215,-53.900968,0.0,top
SWR4,198.365255,-62.337447,0.0,top
SWR5,180.365295,-65.057549,0.0,top
SWR6,254.23442940168042,-96.77328287475372,350.0,top
SWR7,235.72931310571104,-81.25828532207984,356.0,top
SWR8,216.365215,-70.901188,0.0,top
SWR9,198.365255,-79.337667,0.0,top
